全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
阿拉善盟,0.048605882,0.314735294,0.015358824,4.983682353,0.037494118,0.009113333,0.01232,0.027511765,0.258947059,0.214111765,0.038141176,0.059217647,0.039876471,0.0344,0.110064706,0.011486667,0.039764706,7.334423529,0.0539,0.123741176,0.200876471,0.594864706,0.026958824,0.115641176,0.037982353,0.0026,0.252305882,0.024288235,0.038670588,0.038994118
巴彦淖尔,0.114976471,1.227170588,0.044405882,0.972194118,0.139076471,0.034076471,0.02343125,0.118370588,1.118717647,0.354170588,0.085435294,0.103417647,0.045123529,0.089488235,0.118352941,0.040764706,0.143576471,1.665935294,0.054758824,0.304923529,0.532770588,0.8082,0.077776471,0.185541176,0.264823529,0.0045,0.051123529,0.054529412,0.123247059,0.085241176
包头,0.397229412,4.146982353,0.322835294,0.567511765,0.497864706,0.142894118,0.1829,0.379552941,2.987605882,1.149382353,0.292047059,0.340611765,0.235947059,0.2592,0.669452941,0.234111765,0.627841176,0.639435294,0.077211765,1.008023529,3.041523529,2.064888235,0.372941176,0.491311765,0.634876471,0.007566667,0.080282353,0.213647059,0.363605882,0.219123529
赤峰,0.222458824,6.624847059,0.091617647,0.058158824,0.306764706,0.080176471,0.042705882,0.165970588,7.837876471,0.612329412,0.817458824,0.168476471,0.141070588,1.073288235,0.400664706,0.090882353,15.36302353,0.038105882,0.0147,1.160370588,0.336611765,0.180052941,0.224270588,0.139317647,1.309770588,0.005533333,0.030294118,0.079917647,0.229952941,0.065570588
鄂尔多斯,0.702523529,2.914023529,0.300152941,1.321517647,0.230794118,0.094582353,0.055811765,0.3167,4.209058824,2.166941176,0.466888235,0.377676471,0.197558824,0.341911765,0.648770588,0.084423529,1.008258824,6.978364706,0.081123529,2.610570588,8.134588235,24.15835294,0.291776471,0.440876471,0.411194118,,0.057647059,0.127364706,0.264094118,0.241623529
呼和浩特,0.693717647,9.388623529,0.431952941,0.697341176,0.998588235,0.264994118,0.250911765,0.922076471,4.888470588,1.793511765,0.757764706,0.632335294,0.420882353,0.567729412,1.087041176,0.314005882,1.304029412,0.606847059,0.158,1.931776471,5.735135294,1.893941176,0.637888235,0.962170588,1.261823529,0.01506,0.166352941,0.488982353,0.710923529,0.3892
呼伦贝尔,0.086252941,1.478358824,0.136505882,0.031423529,0.193158824,0.047505882,0.01778125,0.277782353,0.675852941,0.190535294,19.44516471,0.061464706,0.046882353,1.315105882,0.217441176,0.032829412,1.568658824,0.01855,0.00764,0.7211,0.086,0.097023529,0.1499,0.099252941,0.396041176,0.0036,0.012406667,0.057258824,0.141511765,0.043729412
通辽,0.1421,2.401535294,0.056364706,0.046805882,0.156158824,0.051335294,0.039076471,0.092452941,1.344082353,0.272470588,1.187570588,0.086629412,0.059594118,8.994382353,0.2529,0.059705882,15.17903529,0.024941176,0.014928571,0.759829412,0.146617647,0.133529412,0.102182353,0.098052941,0.554317647,0.0048,0.020723529,0.053535294,0.130141176,0.0319
乌海,0.071794118,0.547035294,0.0469,0.986423529,0.067805882,0.018858824,0.012557143,0.068188235,0.474817647,0.339582353,0.089905882,0.099017647,0.032270588,0.047441176,0.114988235,0.0191,0.1032,4.719141176,0.038735294,0.249776471,0.385929412,0.933470588,0.062470588,0.127823529,0.085758824,0.0043,0.020117647,0.020847059,0.075335294,0.049947059
乌兰察布,0.085352941,3.331705882,0.046888235,0.080335294,0.120852941,0.027688235,0.02095625,0.085776471,5.514241176,0.390870588,0.097688235,0.112123529,0.052147059,0.1104,0.187270588,0.032147059,0.283958824,0.127747059,0.058166667,0.520870588,6.675258824,0.307358824,0.075429412,0.148176471,0.541870588,0.0123,0.01855,0.044829412,0.097482353,0.036411765
